# eto sig
2.899160675040462985e-05 7.753223570151123845e+00
2.907356308373796624e-05 8.164448990498533121e+00
3.182655275040463468e-05 8.958093845614712336e+00
5.221879041707130659e-05 1.355260579056504966e+01
8.984049708373797528e-05 2.268598299494398418e+01
1.160218370837379708e-04 2.664032380296937319e+01
1.141070404170713116e-04 2.752021128403717043e+01
1.222020937504046223e-04 2.830157256500462637e+01
1.295520937504046383e-04 2.931707050347508670e+01
1.345253570837379620e-04 3.050120755441030340e+01
1.462376670837379827e-04 3.165605538225686288e+01
1.500896170837379552e-04 3.279184173586063622e+01
1.553087504170713078e-04 3.406599461745395274e+01
1.621185804170713069e-04 3.537450550636742008e+01
1.690550704170713033e-04 3.685039909021958238e+01
1.769936637504046463e-04 3.850818399141164861e+01
1.797056770837379821e-04 4.017174259281635074e+01
1.881844370837379497e-04 4.187886083415762073e+01
2.011223704170713139e-04 4.365805511779248604e+01
2.101003204170713047e-04 4.550288347453533788e+01
2.230866804170712899e-04 4.737409767717841191e+01
2.290918504170712960e-04 4.910367837883668329e+01
2.317740604170712962e-04 5.094396897368249455e+01
2.436093070837379597e-04 5.277492895281439189e+01
2.478226104170713003e-04 5.473152709170726382e+01
2.586371270837379394e-04 5.667742574134484101e+01
2.691573470837379015e-04 5.857758030192992038e+01
2.761012870837379718e-04 6.028553926875331115e+01
2.863719137504046591e-04 6.198605027008770918e+01
2.894043004170713152e-04 6.381354315481687678e+01
2.987361504170712892e-04 6.597324476167528928e+01
3.118827004170712726e-04 6.818428810844574173e+01
3.171241837504046573e-04 7.039646320105750021e+01
3.292127504170713152e-04 7.246215445336459027e+01
3.345846204170713082e-04 7.431753139991722890e+01
3.462112504170713253e-04 7.626904925747800235e+01
3.583035570837379467e-04 7.841582740468186330e+01
3.665960237504046495e-04 8.053061127659411511e+01
3.743930570837379558e-04 8.264934727684114080e+01
3.892606904170713296e-04 8.491013714081397268e+01
3.966218904170712889e-04 8.720928779954125787e+01
4.074624904170713016e-04 8.921657737359289797e+01
4.125512237504045852e-04 9.123716406306893134e+01
4.184595237504046316e-04 9.323597093257667723e+01
4.241145237504046579e-04 9.536052015431967277e+01
4.462688237504046297e-04 9.775231229405689248e+01
4.521063570837379831e-04 1.002212930930152481e+02
4.648989904170713200e-04 1.026333776153293087e+02
4.768720904170712749e-04 1.048203057935700429e+02
4.830225237504046434e-04 1.070579433711892676e+02
4.909834904170712767e-04 1.093326052056169999e+02
5.034669237504046675e-04 1.115422760860021185e+02
5.180439904170713135e-04 1.136699151535340917e+02
5.272417237504045673e-04 1.157408699222142445e+02
5.383356570837379267e-04 1.178806563951095825e+02
5.463301237504047080e-04 1.201467025897676137e+02
5.596927237504046400e-04 1.224837218236294376e+02
5.740686237504045780e-04 1.249314258007712226e+02
5.856878237504045768e-04 1.272942991396300556e+02
5.945465570837380224e-04 1.297268556867180109e+02
6.067096237504046065e-04 1.319832012027362680e+02
6.143315570837379423e-04 1.342896668917267107e+02
6.233020570837379676e-04 1.365048384161849810e+02
6.348988904170712981e-04 1.388085879151562949e+02
6.376593237504046873e-04 1.410992738335593799e+02
